eic_p;eic_g;name_p;name_g;capacity_p;capacity_g;type_g;lat;lon;country;region;NUTS2;status_g;year_commissioned;year_decommissioned;water_type;cooling_type;water_withdrawal;water_consumption;TNET_reach;eff_net;best_source;capacity_gross;ncc
17W100P100P01857;17W100P100P0090I;BELLEVILLE 1;BELLEVILLE 1;1310;1310;Nuclear;47.51;2.875;France;Loire;FRB0;COMMISSIONED;1988;;Freshwater;Natural Draught Tower;4.17;2.54;24756;0.343;MANUAL_FILL;1360;1.5
17W100P100P01865;17W100P100P0091G;BELLEVILLE 2;BELLEVILLE 2;1310;1310;Nuclear;47.51;2.875;France;Loire;FRB0;COMMISSIONED;1989;;Freshwater;Natural Draught Tower;4.17;2.54;24756;0.343;MANUAL_FILL;1360;1.5
17W100P100P0191C;17W100P100P0106T;CHINON 1;CHINON 1;905;905;Nuclear;47.225;0.166;France;Loire;FRB0;COMMISSIONED;1984;;Freshwater;Mechanical Draught Tower;4.17;2.54;49720;0.343;MANUAL_FILL;954;1.5
17W100P100P0192A;17W100P100P0107R;CHINON 2;CHINON 2;905;905;Nuclear;47.225;0.166;France;Loire;FRB0;COMMISSIONED;1984;;Freshwater;Mechanical Draught Tower;4.17;2.54;49720;0.343;MANUAL_FILL;954;1.5
17W100P100P01938;17W100P100P0108P;CHINON 3;CHINON 3;905;905;Nuclear;47.225;0.166;France;Loire;FRB0;COMMISSIONED;1987;;Freshwater;Mechanical Draught Tower;4.17;2.54;49720;0.343;MANUAL_FILL;954;1.5
17W100P100P01946;17W100P100P0109N;CHINON 4;CHINON 4;905;905;Nuclear;47.225;0.166;France;Loire;FRB0;COMMISSIONED;1988;;Freshwater;Mechanical Draught Tower;4.17;2.54;49720;0.343;MANUAL_FILL;954;1.5
17W100P100P01970;17W100P100P0113W;CIVAUX 1;CIVAUX 1;1495;1495;Nuclear;46.456;0.655;France;Loire;FRI3;COMMISSIONED;2002;;Freshwater;Natural Draught Tower;4.17;2.54;40455;0.4;MANUAL_FILL (see report for value explanation);1560;1.8
17W100P100P0198Z;17W100P100P0114U;CIVAUX 2;CIVAUX 2;1495;1495;Nuclear;46.456;0.655;France;Loire;FRI3;COMMISSIONED;2002;;Freshwater;Natural Draught Tower;4.17;2.54;40455;0.4;MANUAL_FILL (see report for value explanation);1560;1.8
17W100P100P0236G;17W100P100P0017S;CORDEMAIS 4;CORDEMAIS 4;580;580;Fossil Hard coal;47.29;-1.83;France;Loire;FRG0;COMMISSIONED;1899;;Freshwater;Once-through;137.59;0.95;52278;0.44;MANUAL_FILL;;
17W100P100P0237E;17W100P100P0018Q;CORDEMAIS 5;CORDEMAIS 5;580;580;Fossil Hard coal;47.29;-1.83;France;Loire;FRG0;COMMISSIONED;1899;;Freshwater;Once-through;137.59;0.95;52278;0.44;MANUAL_FILL;;
17W100P100P0203V;17W100P100P0120Z;DAMPIERRE 1;DAMPIERRE 1;890;890;Nuclear;47.732;2.518;France;Loire;FRB0;COMMISSIONED;1980;;Freshwater;Natural Draught Tower;4.17;2.54;28360;0.32;MANUAL_FILL;937;1.5
17W100P100P0204T;17W100P100P0121X;DAMPIERRE 2;DAMPIERRE 2;890;890;Nuclear;47.732;2.518;France;Loire;FRB0;COMMISSIONED;1981;;Freshwater;Natural Draught Tower;4.17;2.54;28360;0.32;MANUAL_FILL;937;1.5
17W100P100P0205R;17W100P100P0122V;DAMPIERRE 3;DAMPIERRE 3;890;890;Nuclear;47.732;2.518;France;Loire;FRB0;COMMISSIONED;1981;;Freshwater;Natural Draught Tower;4.17;2.54;28360;0.32;MANUAL_FILL;937;1.5
17W100P100P0206P;17W100P100P0123T;DAMPIERRE 4;DAMPIERRE 4;890;890;Nuclear;47.732;2.518;France;Loire;FRB0;COMMISSIONED;1981;;Freshwater;Natural Draught Tower;4.17;2.54;28360;0.32;MANUAL_FILL;937;1.5
17W100P100P0318E;17W100P100P00122;FR-GA-MORANT1;FR-GA-MORANT1;401;401;Fossil Gas;46.25;3.27;France;Loire;FRK1;COMMISSIONED;2011;;Freshwater;Air Cooling;0.01;0.01;-1;0.55;JRC_emissions_16_derived;;
17W100P100P0229D;17W100P100P0147F;ST LAURENT 1;ST LAURENT 1;915;915;Nuclear;47.72;1.578;France;Loire;FRB0;COMMISSIONED;1983;;Freshwater;Natural Draught Tower;4.17;2.54;38310;0.329;MANUAL_FILL;956;1.5
17W100P100P0230S;17W100P100P0148D;ST LAURENT 2;ST LAURENT 2;915;915;Nuclear;47.72;1.578;France;Loire;FRB0;COMMISSIONED;1983;;Freshwater;Natural Draught Tower;4.17;2.54;38310;0.329;MANUAL_FILL;956;1.5